city_state,white_2015,white_2000,black_2015,hispanic_2015,female_2015,asian_2015
riverside ca,31.8,45.56,5.5,51.8,50.4,7
riverton wy,77,83.09,1.2,10.6,49.6,0.6
roanoke rapids nc,62,71.56,32.8,3.1,55.4,1.3
roanoke va,60.7,68.75,27.5,5.9,51.9,2.5
robinson il,81.6,94.91,8.3,5,45.6,1
rochester in,94.2,95.51,0.6,3.4,51.4,0.3
rochester mn,77.6,85.84,6.6,5.6,51.5,7.4
rochester ny,36.5,44.32,38.8,17.4,51.5,3.6
rock hill sc,51,57.57,38.9,5.3,52.6,2.3
rock springs wy,76.9,86.8,1.2,16.5,47.5,1.4
rockford il,55.5,68.4,20.9,17.8,51.4,3
rockingham nc,59.6,64.55,33.6,4.4,53.9,0.4
rocky mount nc,29.5,40.34,63.1,3.4,53.9,1
rolla mo,82.8,88.34,4.2,3.2,43.7,7.6
rome ga,52.4,59.19,27.3,16.5,52.8,1.8
rome ny,85,85.47,5,6.4,48.7,1.2
roseburg or,88,91.48,0.8,5.1,50.9,0.5
rosenberg tx,25.6,35.42,11.8,59.4,52,2.1
roswell nm,38.7,50.92,2.1,56.1,51.3,0.9
royal oak mi,88.8,93.94,3.6,2.5,50.1,3.3
rushville in,93,96.18,2.4,2.8,52,0
russellville ar,75.5,88.41,5.9,14.1,51.7,0.8
ruston la,50.2,56.41,44.1,1.2,51.4,2.6
rutland vt,95.5,97.13,0.9,1.3,52.7,1.3
sacramento ca,33.5,40.53,13.2,28.1,51.5,18.2
saginaw mi,37.7,42.67,43,14.3,52.1,0.5
saint augustine fl,81.1,NULL,10.6,5.9,53,0.9
salamanca ny,67.1,83.88,3.4,6.9,52.8,0.2
salem ma,73.7,82.35,4.5,16.5,53.5,2.3
salem oh,95,97.93,0.8,2.8,52.7,0.1
salem or,68.3,77.66,1.4,21.7,50.3,2.7
salida co,81.5,86.36,0.4,14.3,54.1,0
salina ks,79.2,85.45,3.4,11.4,50.7,2.8
salinas ca,14.8,24.19,1.3,75.9,49.8,6.6
salisbury md,50.5,59.43,35.2,6.9,52.2,3.4
salisbury nc,49.3,55.36,37.6,9,51.8,1.4
salt lake city ut,65.4,70.64,2.5,20.6,48.3,5.5
san angelo tx,52.3,59.85,4.7,40.2,50.6,1.4
san antonio tx,26,31.83,6.6,63.3,51.1,2.5
san bernardino ca,17.1,28.93,13.6,61.9,50.5,4.4
san clemente ca,73.1,78.41,0.6,18.4,49.7,3.7
san diego ca,43.2,49.36,6.2,30.1,49.8,16.5
san francisco ca,41.2,43.63,5.3,15.3,49.1,33.5
san jose ca,27,36.04,2.8,32.9,49.8,33.5
san luis obispo ca,72.4,78.68,2,16.4,46.9,5.7
san marcos tx,50.6,55.18,4.3,40.5,52,1.6
san mateo ca,45.2,56.51,2,26.5,50.7,20.5
sanatoga pa,84.4,84.67,5.6,5.2,55.1,1.5
sandpoint id,92.8,94.62,0.1,4.6,52.8,0.3
sandusky oh,66.8,72.97,22.1,5.7,51.7,0.3
sanford fl,45.2,54.61,25.6,23,52.3,3.5
sanford nc,48.1,49.57,25.4,22.9,51.9,1.4
santa ana ca,9.2,12.42,1,78.2,49.8,10.6
santa barbara ca,53.8,58.33,1.4,39.5,50.4,3.2
santa clarita ca,51,69.26,2.7,32.2,50.7,9.5
santa cruz ca,64.2,71.99,1.8,20.6,50.8,8.3
santa fe nm,40.1,47.1,0.9,54.1,52.5,1.5
santa maria ca,20.5,31.96,0.8,72.5,49.1,4.9
santa monica ca,67,71.93,4.3,15.4,51.7,9.3
santa rosa ca,57.1,70.86,2.1,31,50.7,5
sapulpa ok,74.2,79.99,2.9,4.6,51.2,1.5
saranac lake ny,95.8,96.17,1.3,0.1,49.8,0.5
sarasota fl,65.2,69.78,14.8,17.1,51.3,1.2
saratoga springs ny,88.8,92.61,1.9,4.2,51.5,3.1
sault ste. marie mi,73.8,73.16,4.4,1.5,50.5,1
savannah ga,36.8,37.95,53.5,5.2,52.5,2.3
sayre pa,97.8,96.4,0.8,0.7,51,0.7
schenectady ny,54.9,74.52,19.2,10.9,51.2,5.8
scottsbluff ne,63.4,71.6,1.2,32.4,52.4,0.9
scottsboro al,87.5,90.28,3.9,4.3,51.1,0.8
scranton pa,76.8,92.28,6,11.4,52,3.9
searcy ar,85.4,89.35,8.4,3.6,51.4,1.1
seattle wa,65.9,67.9,7.1,6.5,49.8,14.1
sebring fl,64.2,71.18,13.5,18.6,46.9,2
sedalia mo,81.4,87.11,4.4,10.9,52.9,0.3
seguin tx,37.4,36.2,7.9,52.4,51,1.3
selma al,18,28.64,79.2,0.4,55.1,0.5
seminole ok,63.5,72.27,5.9,5.6,52.6,0.4
seneca sc,62.5,62.52,27.7,5.7,54.1,0.9
sevierville tn,79,94.95,1,12.5,50.8,4.5
seymour in,82.9,91.75,1.4,11.5,50.6,2.1
shamokin pa,96.8,98.36,0.8,1.6,50.4,0
sharon pa,76.5,85.91,14.4,1.5,56,3
shawano wi,82.9,88.53,0.5,2.5,53.4,0.4
shawnee ok,70.3,75.78,3.6,6.3,52.4,0.7
sheboygan wi,75.3,85.03,1.9,10.4,50.4,10.6
shelby nc,53.4,56.4,39.2,4.7,54.3,1.8
shelbyville in,86.4,94.4,2.9,7.5,53,1.3
shelbyville tn,62.7,68.65,11.3,21.6,52.6,0.5
shenandoah ia,87.5,96.03,0,6.3,49.9,3.1
sheridan wy,90.3,94.44,1.1,5.2,52.1,0.8
sherman tx,61.8,72.64,12,20.9,51.6,1.7
shreveport la,38.9,45.9,55.5,2.7,53,1.4
sidney ne,89.9,92.1,0.1,7.5,53,1.4
sidney oh,87.6,91.75,5.6,2.7,51.3,1.4
sierra vista az,57.1,65.44,6.5,26.9,52.3,3.6
sikeston mo,68.4,75.05,27.3,1.6,52.6,0
silver city nm,40,44.5,0.5,56.2,53.1,0.2
simi valley ca,61.3,72.66,1.1,24.9,50.9,9
sioux city ia,71.5,80.6,3.4,18.1,50.8,3
sioux falls sd,83.2,90.91,4.6,5,50.2,2.1
sitka ak,62.7,67.09,1.1,6,48.7,5.8
slidell la,73.3,81.23,17.5,6,52,1.3
snyder tx,51.6,62.43,4.1,43.2,51.4,0.2
somerset ky,90.7,93.45,2.6,4.6,53.6,0
somerset nj,39.4,39.35,28.2,10.3,50.5,19.5
somerset pa,96.1,97.44,0.4,1.7,56.4,0.6
somerville nj,53.5,60.63,10.4,23,47.2,11.6
south bend in,54.2,63.27,26.8,13.8,51.6,1.4
south lake tahoe ca,56.5,63.6,1.7,33.4,46.3,5.9
southbridge ma,62.6,71.79,2.2,32.1,51.7,1.4
sparks nv,59.1,69.52,2.8,27.5,50.8,5.5
spartanburg sc,46.3,46.46,46.6,3.4,55.6,1.8
spearfish sd,91.7,94.36,0.4,1.9,53.8,1
spencer ia,93.8,96.61,0.8,3.6,52.2,0
spokane wa,82.6,87.88,2.3,5.9,51.4,2.9
springdale ar,50.1,74.08,2.2,36.2,49.4,2.1
springfield il,72.4,80.31,19.3,2.6,52.3,2.4
springfield ma,34.2,48.85,18.8,42.2,52.5,2.1
springfield mo,86.1,90.47,4.2,4.2,51.7,2.1
springfield oh,73.7,77.52,17.8,3.1,52.6,0.6
st. albans vt,90.7,95.18,0.7,1.2,53.3,1.3
st. charles il,84.5,90.38,1.4,9.4,52,3.3
st. cloud mn,82.4,91.12,8.7,2.6,48.3,2.9
st. george ut,80.7,89.03,0.9,13.2,51.4,0.5
st. johnsbury vt,91.5,95.28,0.5,4.2,48.8,2.5
st. joseph mi,89.4,89.65,4.5,0.9,48.8,2.5
st. joseph mo,82.9,90.2,5.8,6.5,50.2,1
st. louis mo,43.1,42.89,47.5,3.7,51.7,2.8
st. marys oh,95.4,97.17,0.8,0.2,50.5,1
st. marys pa,97.4,98.6,0.5,0.8,51.7,0.7
st. paul mn,54.2,64.04,15.1,9.5,50.8,16.5
st. petersburg fl,63,68.64,23.6,7.1,51.7,3.1
stamford ct,50,61.16,13.8,25.9,50.3,8.7
starkville ms,59.1,64.04,35,1.8,49.7,2.9
state college pa,78.9,82.93,4.4,4.4,46.5,10.1
statesboro ga,50,55.38,41.9,3.1,52,2.2
statesville nc,49.5,57.38,35.9,11.4,54.1,1.2
staunton va,81.6,82.71,11.9,2.6,55.1,1
steamboat springs co,88.5,94.73,0.6,8.3,47.9,1.2
stephenville tx,78,85.02,2.9,15.5,53.3,1.1
sterling co,73,83.3,1.9,19.2,46.5,3.2
sterling il,71.6,76.68,1.2,25.4,52.8,0.8
steubenville oh,79,78.95,15.4,1.9,54.3,0.6
stevens point wi,88.7,91.56,1.2,3.3,51.6,4.4
stillwater mn,90.4,96.98,2.3,3.4,49.6,1.5
stillwater ok,73.9,81.26,5,5.2,49.3,6.6
stockton ca,21.6,32.22,11,42.1,51.1,21
strasburg va,90.6,92.78,3,3.5,52.6,1.1
streator il,84.1,89.87,2.9,10.3,53.1,1.7
stroudsburg pa,64.5,82.87,9.9,15.2,40.4,4.5
stuart fl,71.1,79.68,12.7,13.2,51.3,1.7
sturgis mi,74.7,83.51,1.4,21.4,52.3,0.2
stuttgart ar,56.5,63.58,38.3,3.6,53.1,0.9
suffolk va,50.2,53.3,41.4,3.6,51.8,1.4
sulphur la,89.8,92.41,4.1,4.5,52.4,0.8
sulphur springs tx,65.8,75.81,13,16.9,53.1,0.6
sumter sc,45.5,48.68,46.9,3.9,54.5,1.9
sun city az,93,97.68,1.4,4,58.4,0.4
sunbury pa,89.4,94.38,2.6,6.9,51.5,0.3
sunnyside wa,13.8,24.84,0,84.5,48.8,0.7
superior wi,91.2,93.82,1.5,1.3,51.5,1.6
sweetwater tx,52,61.45,5.5,40.1,51.1,0.2
syracuse ny,51.2,62.41,28.3,8.4,52.9,6.6
tacoma wa,59.9,66.49,10.2,11.5,50.5,8.9
taft ca,53.3,79.08,1.7,38.1,39.2,2.3
tahlequah ok,48,56.98,2.1,10.4,50.4,0.4
talladega al,46,55.87,47,4.8,50.6,1.2
tallahassee fl,51.5,57.79,35.3,6.8,52.4,3.9
tampa fl,46.1,51.04,23.9,23.4,51.3,3.7
tarboro nc,45.8,54.06,44.7,6.8,52.9,0
taunton ma,84,89.81,5.5,6.7,51.8,1.1
taylor tx,41.6,50.55,10.4,44.7,51.8,0.8
taylorville il,98.2,97.33,0.4,0.3,51.9,0.4
temecula ca,55.7,69.32,2.9,25.4,51.3,10.1
tempe az,59.6,69.67,5.2,22.6,47.4,7.1
temple tx,54.3,62.69,16.1,24.4,51.6,2.7
terre haute in,81.3,85.33,9.4,3.5,48.9,1.4
terrell tx,46.5,48.44,22.6,26.1,51.9,0.6
texarkana tx,52,58.13,36.3,7.3,51.4,1.6
texas city tx,43.2,50.1,24.6,29.4,51.5,0.5
the dalles or,76.4,84.49,0.6,18.8,52.1,0.6
the villages fl,96.9,97.2,0.3,1.7,53.1,0.6
thibodaux la,62.2,63.5,31.9,2.8,52,0.7
thomasville ga,42,42.27,53.9,1.8,55.1,0.4
thousand oaks ca,68.1,77.66,1.2,18.4,51.1,9.2
three rivers mi,78.7,83.52,12.1,5.7,49,1
tiffin oh,91.2,94.95,2.6,3.7,52,1.7
tifton ga,51.1,58.78,33.7,10.7,52.6,1.2
tipton in,95.2,97.07,0.1,1.6,52.2,0.2
titusville pa,94.3,96.86,2.1,1.5,52.3,0.3
toledo oh,60.7,67.81,26.3,7.8,51.5,1.3
toms river nj,83.5,90.13,2,8.6,51,4.4
topeka ks,69.2,75.07,9.7,13.8,52,1.3
torrance ca,41.1,52.36,2.6,16.8,51.1,33.9
torrington ct,84.4,91.47,1.8,8.8,50,3.1
tracy ca,34.7,53.97,5.7,38.1,49,14.9
traverse city mi,92.7,94.98,1.5,3.1,51.9,0.8
trenton mo,93.1,96.03,1,1.5,52.4,0.3
trenton nj,13.4,24.62,49,35.1,49.3,1.2
trinidad co,43.2,48.39,2.1,51.3,50.6,0.8
troy al,53.4,58.2,41.3,0.5,52.2,3.6
troy ny,66.5,78.73,14.9,8.8,50.6,4
troy oh,88.2,91.08,3.9,2.2,50.9,2.8
tucson az,45.8,54.19,4.6,42.5,50.3,2.8
tulare ca,33.3,43.82,3.1,58.5,51.3,2.1
tulsa ok,56.3,67.11,14.9,15,51.4,2.8
tupelo ms,55.1,68.69,38.4,3.4,52.5,0.6
turlock ca,49.9,60.41,2.1,37.9,51.3,6.1
tuscaloosa al,50.2,53.48,42.7,3.3,52.9,2.6
twin falls id,79.5,87.61,0.7,15.1,50.9,2.2
tyler tx,48.5,55.57,24.6,22.9,53.1,2.3
tyrone pa,98.3,98.46,0.2,1.2,51.6,0
ukiah ca,60.9,72.4,0.8,27.9,51,2.1
union city tn,68.9,73.91,22.7,5.5,55.5,0
union sc,50.4,56.1,47.5,0.4,54.7,0
uniontown pa,78.4,NULL,13.9,1.1,51.6,0.1
upper sandusky oh,95.3,96.02,0.2,4.1,52.8,0.1
urbana oh,88.5,90.47,4.4,3,53.6,0.3
utica ny,59.8,76.49,14.7,11.4,51.7,9.9
vacaville ca,54.6,63.22,9.3,22.7,47.6,6.5
vail co,93,89.74,1.2,3.4,44.4,0.7
valdosta ga,40,46.75,50,5.6,52.7,1.8
vallejo ca,25,30.43,20.6,24.9,51.7,23.3
valley city nd,91.7,96.73,1.4,1.6,51.6,3.3
valparaiso in,85,92.14,3.4,8.1,51.4,2.3
van wert oh,91.5,95.01,1.9,4.8,53.6,0.5
vancouver wa,73.1,82.17,2.7,11.6,51.3,5.3
ventura ca,58.2,68.09,1.6,33.8,51,3.5
vernon tx,54.2,65.96,10.6,32.4,51.3,0.5
vero beach fl,85.3,88.65,6,6.4,50.9,0.4
vicksburg ms,27.6,37.39,68.3,2.2,55.5,1.5
victoria tx,40.7,47.72,6.5,49.6,51.2,1.6
victorville ca,24.1,47.45,15.4,53.1,50.8,4.4
vincennes in,89.6,93.92,5.8,2.6,50.3,0.3
vineland nj,46.6,54.81,11.7,38,52.9,1
vinita ok,61.5,66.76,4.7,1.9,52,0.6
vinton ia,98.2,97.67,0.2,0,52.6,0.4
visalia ca,43.1,54.9,1.6,47.6,50.9,5.1
wabash in,95.5,95.84,0.5,1.5,53.2,0.5
waco tx,43.8,51.08,20.7,31.8,51.4,2
wahpeton nd,89.8,94.83,1,3.9,47.3,0.6
wailuku hi,17.8,16.71,0.4,13.3,48.1,31.6
wakefield ma,91.3,96.36,0.9,3.2,51.9,3.2
walla walla wa,67.5,75.65,2.2,23.7,47.9,2.3
walnut creek ca,71,80.62,2,9.4,53.7,14.1
waltham ma,66.9,78.37,5.9,13.3,51.4,11.1
wapakoneta oh,94.7,97.56,1.1,2.8,50.2,0.4
warner robins ga,48.6,60.52,37.8,7.1,52.3,3.3
warren oh,64.4,71.36,28.6,2.9,52.1,0.3
warren pa,96,98.25,0.7,1.9,52.7,1
warrensburg mo,81.2,85.47,8.2,3.2,48.6,2.7
warsaw in,82.2,87.16,1,11.2,52.3,3.3
washington court house oh,92.8,NULL,2.8,1.3,53.2,1.2
washington dc,35.6,27.83,48,10.2,52.6,3.6
washington ia,86.1,93.5,1.8,9.6,53.6,0.6
washington in,83.9,93.67,3.2,11.1,50.7,0.5
washington nc,46.7,50.49,42.9,9.8,56.6,0
washington pa,78.8,81.47,13.4,1.4,50.9,0.4
waterbury ct,40.6,58.18,18.6,35.3,51.5,2.2
waterloo ia,73,80.61,15.7,6.4,50.8,1.7
watertown ny,79.8,87.77,6.5,7.6,50.5,1.8
watertown sd,92.9,95.78,0.4,2,51.1,0.3
watertown wi,90.4,NULL,0.8,5.4,51.5,0.8
waterville me,89.8,95.21,3.2,1.8,51.8,1.7
watseka il,89.2,95.19,2.5,7.1,56.5,1.2
watsonville ca,14.3,19.37,0.2,81.5,49.4,3
waukegan il,21.6,30.93,16.3,55.1,50.4,4.8
waukesha wi,78.1,86.68,3.3,12.7,50.5,3.4
wausau wi,78.8,85.36,1.7,3.7,51.3,12.4
waxahachie tx,57.7,61.42,14.4,25,52.6,0.4
waycross ga,38.9,43.8,54.4,5.1,56,1
waynesboro pa,87.9,94.29,4.8,4.9,52.9,1.3
waynesboro va,78.1,84.49,11.8,6.7,52.3,1
waynesville mo,75.9,78.24,10.6,7,52.7,0.9
weatherford ok,74.7,85.35,4.8,10.3,49.7,1.4
weatherford tx,79.7,85.48,3,13.8,53.6,1
webster city ia,87.8,94.74,0.5,7.4,51.7,3.9
weirton wv,92.7,94.06,3.2,1.6,50.8,0.1
wellington ks,83.4,88.52,1.7,11.2,49.4,0.3
wenatchee wa,63,74.72,0.6,31.8,52.2,0.8
west bend wi,92.7,96.19,1.2,3.4,50.1,1.5
west chester pa,74.2,71.6,10.2,11.6,52.2,1.7
west covina ca,13.5,22.96,4.1,54.4,51.6,26.1
west frankfort il,94.7,98.01,1,0.8,52,1.2
west hartford ct,74,82.85,6.8,9.7,53,6.9
west memphis ar,33.3,41.79,63.6,0.6,53.1,0.8
west palm beach fl,40.8,46,31.1,23.6,51.7,2.8
west plains mo,91.7,94.83,0.5,3.1,53.5,1.6
west point ms,37.9,42.53,61,0.6,54.7,0
westchester county ny,71,NULL,2.7,2.9,#VALUE!,19.8
westerly ri,91.8,93.86,0.8,2.5,54.8,3.2
westfield ma,85.4,92.07,2,8,51.3,2.4
westminster md,81.6,90.34,7,6.5,52.3,2.2
wheeling wv,89.9,92.26,6,1.2,52.1,1.1
white plains ny,44.3,54.15,11.9,34.4,51.8,7.2
whittier ca,25.3,37.61,1.1,67.5,51.3,4.1
wichita falls tx,61.8,68.89,12,20.8,47.5,2.5
wichita ks,63.5,71.72,11.2,16,50.6,5
wilkes-barre pa,68.7,91.44,12.4,14.1,51.1,1.8
williamsport pa,77.9,83.59,14.3,3.6,50.2,0.6
willimantic ct,48.5,60.6,5.5,41.4,53.2,2.4
williston nd,87,92.89,2.1,4.8,45.5,0.2
willmar mn,70.7,81.68,5.8,21.1,49.9,0.5
willoughby oh,90,95.91,5.2,1.5,53.1,2.4
wilmington de,28.6,32.14,54.8,13.2,53.5,1.4
wilmington nc,72.2,69.41,18.7,5.6,52.9,1.6
wilmington oh,86.6,90.08,7.7,2.7,53.6,0.2
wilson nc,39.7,43.87,46.7,9.1,54.2,1.5
winchester ky,86.3,88.28,8.3,3.4,50.6,0.5
winchester va,67.9,79.39,10.4,16.3,50.6,2.4
winfield ks,78.8,85.78,4.4,8.2,46.5,3.8
winnemucca nv,68.6,73.92,0.2,28.3,48.1,0.1
winona mn,93.2,93.75,2.3,0.9,53,2.3
winston-salem nc,46,52.44,34.4,15.4,53.2,2.1
winter haven fl,57.6,69.09,26.9,12,53.4,1.1
wisconsin rapids wi,91.8,93.27,1.3,2.1,51.9,3.1
woburn ma,83,89.04,4.7,3,50.1,6
woodbridge nj,42.2,68.43,9.4,22.9,48.6,22.7
woodbury nj,60.5,70.73,22.2,10.5,51.1,0.7
woodland ca,41.7,53.03,0.8,47.4,51,7.6
woodland park nj,63.9,NULL,3.8,25.1,51.6,6.1
woodward ok,77.3,89.66,0.2,15.9,49.3,0.1
woonsocket ri,71.2,79.82,5.9,14,49.9,6.7
wooster oh,88.4,91.9,3.6,2.6,52,2.5
worcester ma,57.9,70.79,11.4,20.8,51.5,7.2
worland wy,79.6,84.08,0,16.9,51.5,0.3
worthington mn,41.5,70.32,6.2,39.9,47.9,9.1
xenia oh,79.8,82.8,14.7,1.6,52.8,0.6
yakima wa,49.4,59.75,1,45,50.2,1.2
yankton sd,86.8,92.89,3.1,4.4,47.6,0.7
york ne,91.9,96.09,0.2,5,50.5,0.1
york pa,40.6,54.19,24.4,29.5,52.1,0.7
youngstown oh,42.3,48.89,42.9,10.3,51,0.5
ypsilanti mi,60.2,60.5,27.7,3.4,48.7,3.2
yreka ca,72.4,83.79,1.2,11,53.9,2.2
yuma az,35.3,47.45,2.8,58.1,49,1.8
zanesville oh,84.7,84.97,8,0.9,52.4,0.2
macon ga,40.7,NULL,52.8,3.1,52.8,1.7
cold spring ny,86.9,94.7,0.6,7.9,47.8,1.2
east lansing mi,73,79.4,7.5,4.2,49.7,11.4
pasadena ca,37.3,39.1,10.4,33.5,50.9,15.6
gloucester nj,77.1,96,3.1,11.4,50.1,7.4
cambridge ma,63,64.6,10,8,51.6,14.9
kennesaw ga,55.1,79,24.4,12.2,51.4,4.5
takoma park md,45.4,44.2,32.5,13.9,53.6,5
riverhead	ny,56.7,64.1,19.3,20.2,51.3,1.8
san juan pr,1.2,1.4,0.3,98.2,54.3,0.2
montpelier vt,94.2,95.4,1.1,1.3,53.4,1.1