Company,NewsID,City,State,Year,Circ
The Anniston Star,1,Anniston,AL,1997,E
The Birmingham News,2,Birmingham,AL,1997,C
Birmingham Post-Herald,3,Birmingham,AL,1997,D
The Daily,4,Decatur,AL,1997,E
The Decatur Daily,4,Decatur,AL,1997,E
The Huntsville Times,5,Huntsville,AL,1997,D
Montgomery Advertiser,6,Montgomery,AL,1997,D
The Gainesville Sun | The Ocala StarBanner,8,Gainesville,FL,2013,E
The News,8,Tuscaloosa,AL,1997,E
The Tuscaloosa News,8,Tuscaloosa,AL,1997,E
Anchorage Daily News,9,Anchorage,AK,1997,D
The Daily News,11,Ketchikan,AK,1994,H
The Arizona Republic,12,Phoenix,AZ,1996,B
The Arizona Republic/Phoenix Gazette,12,Phoenix,AZ,1996,B
The Gazette,13,Phoenix,AZ,1994,D
The Scottsdale Progress,14,Mesa,AZ,1994,F
Arizona Daily Star,15,Tucson,AZ,2002,D
The Citizen,16,Tucson,AZ,1997,E
Tucson Citizen,16,Tucson,AZ,1997,E
The Daily Sun,17,Yuma,AZ,2012,F
The Sun,17,Yuma,AZ,2012,F
Camden News,18,Camden,AR,2002,H
Southwest Times Record,19,Fort Smith,AR,2002,E
Times Record,19,Fort Smith,AR,2002,E
Paragould Daily Press,22,Paragould,AR,1998,G
Texarkana Gazette,23,Texarkana,TX,1998,E
The Bakersfield Californian,25,Bakersfield,CA,1997,D
Chico Enterprise-Record,26,Chico,CA,2000,E
Daily Pilot,27,Costa Mesa,CA,1997,E
North County Times,28,Escondido,CA,2003,D
The Escondido North County Times,28,Escondido,CA,2003,D
The Bee,29,Fresno,CA,1997,C
The Fresno Bee,29,Fresno,CA,1997,C
Glendale News-Press,31,Glendale,CA,2001,G
The Glendale News-Press,31,Glendale,CA,2001,G
Press-Telegram,32,Long Beach,CA,1997,C
Los Angeles Times,34,Los Angeles,CA,1997,A
The Bee,35,Modesto,CA,1997,D
The Modesto Bee,35,Modesto,CA,1997,D
Monterey County Herald,36,Monterey,CA,1997,E
The Monterey County Herald,36,Monterey,CA,1997,E
The Oakland Tribune,37,Oakland,CA,1999,D
Inland Valley Daily Bulletin,38,Ontario,CA,1996,D
The Inland Valley Daily Bulletin,38,Ontario,CA,1996,D
The Press-Enterprise,42,Riverside,CA,1994,C
The Bee,45,Sacramento,CA,1997,B
The Sacramento Bee,45,Sacramento,CA,1997,B
The San Bernardino County Sun,46,San Bernardino,CA,1997,D
The San Diego Union-Tribune,48,San Diego,CA,1997,B
San Francisco Examiner,49,San Francisco,CA,2013,C
The Examiner.San Francisco,49,San Francisco,CA,2013,C
San Francisco Chronicle,50,San Francisco,CA,1997,B
San Jose Mercury News,51,San Jose,CA,1997,B
The San Mateo County Times,53,San Mateo,CA,1998,E
Marin Independent Journal,55,Novato,CA,2008,E
Santa Barbara News-Press,56,Santa Barbara,CA,1997,E
The Santa Monica Outlook,57,Torrance,CA,1994,E
The Press Democrat,58,Santa Rosa,CA,1994,D
The Union Democrat,59,Sonora,CA,1998,F
Copley Los Angeles Newspapers,60,Torrance,CA,1998,D
Daily Breeze,60,Torrance,CA,1998,D
Daily News,61,Woodland Hills,CA,1998,C
Los Angeles Daily News,61,Woodland Hills,CA,1998,C
The Star-Free Press,62,Ventura,CA,1995,C
Ventura County Newspapers,62,Ventura,CA,1996,E
Ventura County Star,62,Ventura,CA,1996,E
Register-Pajaronian,63,Watsonville,CA,2005,G
Daily Camera,65,Boulder,CO,1997,E
The Denver  Post,67,Denver,CO,1995,B
The Denver Post,67,Denver,CO,1995,B
Denver Rocky Mountain News,68,Denver,CO,2000,B
Daily Times-Call,69,Longmont,CO,2003,F
The Chieftain,70,Pueblo,CO,1998,D
The Pueblo Chieftain,70,Pueblo,CO,1998,D
Connecticut Post,73,Bridgeport,CT,1997,D
The News Times,74,Danbury,CT,1996,E
Greenwich Time,75,Greenwich,CT,1997,F
Hartford Courant,76,Hartford,CT,1999,C
Record-Journal,77,Meriden,CT,1997,E
The Middletown Press,79,Middletown,CT,1999,F
The Herald,80,New Britain,CT,1994,E
New Haven Register,81,New Haven,CT,1998,C
The Advocate,83,Stamford,CT,1998,E
The Advocate and Greenwich Time,83,Stamford,CT,1998,E
The Chronicle,84,Willimantic,CT,1994,F
Delaware State News,85,Dover,DE,1998,F
The News Journal,86,Wilmington,DE,1994,C
The Washington Post,88,Washington,DC,1994,A
The Daytona Beach News-Journal,91,Daytona Beach,FL,2002,C
The Gainesville Sun,93,Gainesville,FL,1997,D
The Times,94,Gainesville,GA,1994,F
The Florida Times-Union,96,Jacksonville,FL,1994,C
The Ledger,98,Lakeland,FL,1994,D
The Herald,99,Miami,FL,1997,B
The Miami Herald,99,Miami,FL,1997,B
The Orlando Sentinel,101,Orlando,FL,1997,B
South Florida Sun-Sentinel,104,Fort Lauderdale,FL,2001,B
Sarasota Herald-Tribune,105,Sarasota,FL,1997,C
St. Petersburg Times,108,St. Petersburg,FL,2012,B
Tampa Bay Times,108,St. Petersburg,FL,2012,B
Scripps Treasure Coast Newspapers,109,Stuart,FL,2003,D
Tallahassee Democrat,110,Tallahassee,FL,1997,D
The Tampa Tribune,111,Tampa,FL,1997,B
The Palm Beach Post,112,West Palm Beach,FL,1997,C
The Atlanta Journal and The Atlanta Constitution,115,Atlanta,GA,2001,B
The Atlanta Journal-Constitution,115,Atlanta,GA,2001,B
Columbus Ledger-Enquirer,118,Columbus,GA,1997,D
The Macon Telegraph,121,Macon,GA,1997,D
Savannah Morning News,122,Savannah,GA,1997,D
Hawaii Tribune-Herald,124,Hilo,HI,1998,F
Honolulu Advertiser,125,Honolulu,HI,1998,C
The Honolulu Advertiser,125,Honolulu,HI,1998,C
Honolulu Star-Advertiser,126,Honolulu,HI,2012,C
Lewiston Morning Tribune,127,Lewiston,ID,2008,F
Lewiston Tribune,127,Lewiston,ID,2008,F
The Telegraph,128,Alton,IL,1994,E
Daily Herald,129,Arlington Heights,IL,1997,C
The Beacon-News,130,Aurora,IL,1996,E
The Pantagraph,131,Bloomington,IL,1995,D
Southern Illinoisan,132,Carbondale,IL,1998,E
Chicago Sun-Times,134,Chicago,IL,2006,B
Chicago Tribune,135,Chicago,IL,1997,A
Commercial-News,136,Danville,IL,1998,F
The Register-Mail,137,Galesburg,IL,1994,F
The Daily Journal,138,Kankakee,IL,1994,E
Dispatch and Rock Island Argus,139,Moline,IL,1995,E
The Dispatch and Rock Island Argus,139,Moline,IL,1998,E
The Dispatch and The Rock Island Argus,139,Moline,IL,1998,E
Journal Star,140,Peoria,IL,1997,D
Quincy Herald-Whig,141,Quincy,IL,2014,F
The State Journal-Register,142,Springfield,IL,1994,D
The News-Sun,143,Waukegan,IL,1996,E
The Republic,144,Columbus,IN,1994,F
The Elkhart Truth,145,Elkhart,IN,1997,E
Evansville Courier & Press,146,Evansville,IN,2005,D
The Journal Gazette,147,Fort Wayne,IN,1996,D
The News-Sentinel,148,Fort Wayne,IN,1994,D
Post-Tribune,149,Gary,IN,1999,D
The Post-Tribune of Northwest Indiana,149,Gary,IN,1999,D
The Times,150,Munster,IN,2006,D
The Times of Northwest Indiana,150,Munster,IN,2006,D
The News,151,Indianapolis,IN,1994,C
The Indianapolis Star,152,Indianapolis,IN,2000,B
Kokomo Tribune,153,Kokomo,IN,1998,F
The Star,154,Muncie,IN,1997,E
The Star Press,154,Muncie,IN,1997,E
The Courier-Times,155,New Castle,IN,1996,F
The Tribune-Star,157,Terre Haute,IN,1998,E
Tribune-Star,157,Terre Haute,IN,1998,E
The Hawk Eye,159,Burlington,IA,1994,F
The Gazette,160,Cedar Rapids,IA,1994,D
Quad-City Times,161,Davenport,IA,1998,D
The Des Moines Register,163,Des Moines,IA,1997,C
Marshalltown Times-Republican,165,Marshalltown,IA,1997,F
The Courier,166,Waterloo,IA,1998,E
Waterloo Courier,166,Waterloo,IA,2000,E
Waterloo-Cedar Falls Courier,166,Waterloo,IA,2000,E
The Coffeyville Journal,167,Coffeyville,KS,1998,G
The Emporia Gazette,168,Emporia,KS,1997,F
The Hutchinson News,169,Hutchinson,KS,1998,E
Lawrence Journal-World,170,Lawrence,KS,2000,F
The Manhattan Mercury,171,Manhattan,KS,1997,F
The Daily News,172,Olathe,KS,1999,G
The Olathe Daily News,172,Olathe,KS,1999,G
The Herald,173,Ottawa,KS,1998,G
The Ottawa Herald,173,Ottawa,KS,1998,G
Parsons Sun,174,Parsons,KS,1997,G
The Capital-Journal,176,Topeka,KS,1997,D
The Topeka Capital-Journal,176,Topeka,KS,1997,D
The Eagle,177,Wichita,KS,1997,C
The Wichita Eagle,177,Wichita,KS,1997,C
The Kentucky Post,179,Covington,KY,1994,E
KyPost.com,179,Cincinnati,OH,2010,O
Lexington Herald-Leader,181,Lexington,KY,1997,C
The Courier-Journal,183,Louisville,KY,1994,C
Borger News-Herald,184,Borger,TX,2002,H
Messenger Inquirer,185,Owensboro,KY,2001,E
The Paducah Sun,187,Paducah,KY,1998,E
Alexandria Daily Town Talk,188,Alexandria,LA,2005,E
The Town Talk,188,Alexandria,LA,2005,E
American Press,189,Lake Charles,LA,2000,E
The News-Star,190,Monroe,LA,1994,E
The Times-Picayune,192,New Orleans,LA,1994,B
The Times,194,Shreveport,LA,1994,D
Bangor Daily News,196,Bangor,ME,1997,D
The Capital,197,Annapolis,MD,1994,E
The Sun,199,Baltimore,MD,1994,B
Daily Mail and Morning Herald,200,Hagerstown,MD,1996,E
The Herald Mail,200,Hagerstown,MD,1998,E
The Herald-Mail,200,Hagerstown,MD,1998,E
The Daily Mail/Morning Herald,201,Hagerstown,MD,1994,E
The Boston Globe,202,Boston,MA,1997,A
Boston Herald,203,Boston,MA,1997,B
The Christian Science Monitor,204,Boston,MA,1994,C
Gloucester Daily Times,205,Gloucester,MA,2012,G
Cape Cod Times,207,Hyannis,MA,1997,E
The Sun,208,Lowell,MA,1994,D
The Daily News,210,Newburyport,MA,1998,F
The Daily News of Newburyport,210,Newburyport,MA,1998,F
North Adams Transcript,211,North Adams,MA,1998,G
The Patriot Ledger,212,Quincy,MA,2013,E
The Patriot Ledger/The Enterprise,212,Quincy,MA,2013,E
The Evening News,213,Salem,MA,1998,E
The Salem Evening News,213,Salem,MA,1998,E
The Salem Evening News,213,Beverly,MA,2003,E
The Salem News,213,Beverly,MA,2003,E
The News,214,Southbridge,MA,2001,G
The Southbridge Evening News,214,Southbridge,MA,2001,G
The Republican,216,Springfield,MA,2004,D
The Waltham News-Tribune,218,Waltham,MA,1997,G
Waltham News-Tribune,218,Waltham,MA,1997,G
Telegram & Gazette,219,Worcester,MA,1998,C
The Ann Arbor News,221,Ann Arbor,MI,1997,D
Battle Creek Enquirer,222,Battle Creek,MI,1998,E
The Bay City Times,224,Bay City,MI,1997,E
Detroit Free Press,225,Detroit,MI,1997,A
The Detroit News,226,Detroit,MI,1997,B
The Flint Journal,227,Flint,MI,1997,C
The Grand Rapids Press,228,Grand Rapids,MI,1997,C
The Holland Sentinel,229,Holland,MI,1997,F
The Citizen Patriot,230,Jackson,MI,2000,E
The Jackson Citizen Patriot,230,Jackson,MI,2000,E
Kalamazoo Gazette,231,Kalamazoo,MI,1997,D
The Monroe Evening News,232,Monroe,MI,1998,F
The Chronicle,233,Muskegon,MI,1997,E
The Muskegon Chronicle,233,Muskegon,MI,1997,E
The Oakland Press,234,Pontiac,MI,1994,D
The Record-Eagle,235,Traverse City,MI,1998,E
Traverse City Record-Eagle,235,Traverse City,MI,1998,E
Duluth News Tribune,236,Duluth,MN,2003,E
The Free Press,238,Mankato,MN,1994,E
Minneapolis Star Tribune,240,Minneapolis,MN,2013,B
Post-Bulletin,242,Rochester,MN,1998,E
Saint Paul Pioneer Press,243,St. Paul,MN,2002,C
St. Paul Pioneer Press,243,St. Paul,MN,2002,C
The Daily News,245,Winona,MN,1998,F
Winona Daily News,245,Winona,MN,1998,F
The Sun Herald,247,Biloxi,MS,1994,E
The Commonwealth,248,Greenwood,MS,1997,G
The Greenwood Commonwealth,248,Greenwood,MS,1997,G
The Clarion-Ledger,249,Jackson,MS,1994,C
Enterprise-Journal,251,McComb,MS,1997,F
The Natchez Democrat,252,Natchez,MS,1998,F
Columbia Daily Tribune,253,Columbia,MO,1998,F
The Globe,254,Joplin,MO,2000,E
The Joplin Globe,254,Joplin,MO,2000,E
The Kansas City Star,255,Kansas City,MO,1997,B
Mexico Ledger,257,Mexico,MO,2001,G
Springfield News-Leader,258,Springfield,MO,1997,D
St. Joseph News-Press,260,St. Joseph,MO,1997,E
St. Louis Post Dispatch,263,St. Louis,MO,2014,B
Billings Gazette,265,Billings,MT,1999,D
Great Falls Tribune,266,Great Falls,MT,1998,E
Livingston Enterprise,267,Livingston,MT,2005,H
The Livingston Enterprise,267,Livingston,MT,2005,H
Missoulian,268,Missoula,MT,1998,E
Lincoln Journal Star,270,Lincoln,NE,1997,E
Omaha World-Herald,271,Omaha,NE,1997,C
Star-Herald,272,Scottsbluff,NE,1998,F
Las Vegas Review-Journal,273,Las Vegas,NV,2011,C
Reno Gazette-Journal,275,Reno,NV,1997,D
Concord Monitor,276,Concord,NH,1997,F
The Keene Sentinel,277,Keene,NH,1998,F
The Valley News,278,White River Junction,VT,2001,F
Valley News,278,White River Junction,VT,2001,F
The Press,279,Pleasantville,NJ,1997,D
The Press of Atlantic City,279,Pleasantville,NJ,1997,D
Courier News,280,Bridgewater,NJ,2003,E
Courier News,280,Somerville,NJ,2010,E
The Courier News,280,Somerville,NJ,2010,E
The Record,282,Hackensack,NJ,2006,C
The Record and Herald News,282,Hackensack,NJ,2006,C
The Jersey Journal,283,Jersey City,NJ,1994,D
The Star-Ledger,284,Newark,NJ,1994,B
Home News Tribune,285,East Brunswick,NJ,1998,D
Herald News,286,West Paterson,NJ,2003,E
The Trentonian,288,Trenton,NJ,1995,D
The Daily Journal,289,Vineland,NJ,1994,F
Albuquerque Journal,290,Albuquerque,NM,1997,C
New York Post,291,New York,NY,1997,B
The New York Times,292,New York,NY,1997,A
The Wall Street Journal,293,New York,NY,1994,A
Oneonta Daily Star,294,Oneonta,NY,1997,F
Democrat and Chronicle,295,Rochester,NY,1999,C
Rochester Democrat and Chronicle,295,Rochester,NY,1999,C
The Daily Gazette,296,Schenectady,NY,2010,E
The Post-Standard,297,Syracuse,NY,2003,C
Syracuse Newspapers,298,Syracuse,NY,1995,C
Observer-Dispatch,299,Utica,NY,1997,D
Watertown Daily Times/The Journal and Courier-Obse,301,Watertown,NY,2012,F
Watertown Daily Times/The Journal and Courier-Observer,301,Watertown,NY,2012,F
Gannett Suburban Newspapers,302,White Plains,NY,1999,C
The Journal News,302,White Plains,NY,1999,C
Asheville Citizen-Times,303,Asheville,NC,1997,D
The Daily Times-News,305,Burlington,NC,1998,E
Times-News,305,Burlington,NC,1998,E
The  Observer,306,Charlotte,NC,1997,C
The Charlotte Observer,306,Charlotte,NC,1997,C
Fayetteville Observer-Times,308,Fayetteville,NC,2000,D
News & Record,309,Greensboro,NC,1997,C
Henderson Daily Dispatch,311,Henderson,NC,2002,G
The Times-News,312,Hendersonville,NC,1997,F
Times-News,312,Hendersonville,NC,1997,F
High Point Enterprise,313,High Point,NC,1997,E
The News Herald,314,Morganton,NC,1995,F
The News & Observer,315,Raleigh,NC,1994,C
The Shelby Star,318,Shelby,NC,1998,F
The Daily News,319,Washington,NC,1998,F
Washington Daily News,319,Washington,NC,1998,F
Morning Star,320,Wilmington,NC,2002,D
Star-News,320,Wilmington,NC,2013,E
StarNews Media,320,Wilmington,NC,2013,E
The Daily Times,322,Wilson,NC,1997,F
The Wilson Daily Times,322,Wilson,NC,2013,F
The Wilson Times,322,Wilson,NC,2013,F
The Bismarck Tribune,323,Bismarck,ND,1998,E
The Forum,324,Fargo,ND,1994,D
Grand Forks Herald,325,Grand Forks,ND,1997,E
Akron Beacon Journal,326,Akron,OH,1997,C
The Repository,327,Canton,OH,1994,D
The Cincinnati Enquirer,328,Cincinnati,OH,1997,C
The Cincinnati Post and The Kentucky Post,329,Cincinnati,OH,2002,D
The Plain Dealer,330,Cleveland,OH,1994,B
Dayton Daily News,334,Dayton,OH,1997,C
The Chronicle Telegram,336,Elyria,OH,2001,E
Journal-News,337,Hamilton,OH,2014,F
JournalNews & Middletown Journal,337,Hamilton,OH,2014,F
The Journal,338,Lorain,OH,1997,E
The Morning Journal,338,Lorain,OH,1997,E
Record-Courier,339,Ravenna,OH,1997,F
The Advocate,340,Newark,OH,1996,F
Norwalk Reflector,341,Norwalk,OH,1998,G
The Blade,342,Toledo,OH,1997,C
The Blade and Pittsburgh Post-Gazette,342,Toledo,OH,1997,C
The Daily News,343,Troy,OH,2004,G
The Troy Daily News,343,Troy,OH,2004,G
The Daily Record,344,Wooster,OH,1994,E
The Banner,345,Duncan,OK,1998,G
The Duncan Banner,345,Duncan,OK,1998,G
The Shawnee News-Star,346,Shawnee,OK,2000,F
The World,347,Tulsa,OK,1997,C
Tulsa World,347,Tulsa,OK,1997,C
Albany Democrat-Herald,349,Albany,OR,1998,F
The Bulletin,350,Bend,OR,1994,F
Corvallis Gazette-Times,351,Corvallis,OR,1998,F
The Register-Guard,352,Eugene,OR,1994,D
The Observer,353,La Grande,OR,1994,G
Mail Tribune,354,Medford,OR,2011,E
Mail Tribune/Ashland Daily Tidings,354,Medford,OR,2011,E
East Oregonian,355,Pendleton,OR,1998,F
The Oregonian,357,Portland,OR,1994,B
Sarasota Herald Tribune,358,Sarasota,FL,2014,E
The Progress,362,Clearfield,PA,1998,F
The Express-Times,363,Easton,PA,1994,D
Erie Times-News,364,Erie,PA,2001,D
The News,365,Erie,PA,1994,D
The Patriot and Evening News,366,Harrisburg,PA,1995,C
The Patriot-News,366,Harrisburg,PA,1995,C
Standard-Speaker,368,Hazleton,PA,1998,F
The Tribune-Democrat,369,Johnstown,PA,1994,E
Lancaster New Era,370,Lancaster,PA,2001,E
Intelligencer Journal,371,Lancaster,PA,2010,E
Intelligencer Journal/Lancaster New Era,371,Lancaster,PA,2010,E
Bucks County Courier Times,372,Levittown,PA,1997,D
The Derrick and The News-Herald,373,Oil City,PA,2010,F
The Inquirer,375,Philadelphia,PA,1997,A
Philadelphia Daily News,376,Philadelphia,PA,1997,C
Pittsburgh Post-Gazette,377,Pittsburgh,PA,1997,C
Reading Eagle,380,Reading,PA,2003,D
The Scranton Times and The Tribune,381,Scranton,PA,1997,D
The Herald,382,Sharon,PA,1994,E
Centre Daily Times,383,State College,PA,1997,E
The Daily Item,384,Sunbury,PA,1994,E
The Valley News Dispatch/North Hills News Record,385,Tarentum,PA,1998,E
Valley News Dispatch,385,Tarentum,PA,1998,E
The Times Leader,386,Wilkes-Barre,PA,2001,E
Times Leader,386,Wilkes-Barre,PA,2001,E
The Citizens' Voice,387,Wilkes-Barre,PA,1994,E
Williamsport Sun-Gazette,388,Williamsport,PA,1999,E
Providence Journal-Bulletin,389,Providence,RI,1999,C
The Providence Journal,389,Providence,RI,1999,C
The Kent County Daily Times,391,West Warwick,RI,1996,G
The Call,392,Woonsocket,RI,1995,E
Anderson Independent-Mail,393,Anderson,SC,1997,E
The Post and Courier,394,Charleston,SC,1994,C
The State,398,Columbia,SC,1994,C
Florence Morning News,399,Florence,SC,2000,E
Morning News,399,Florence,SC,2000,E
The Greenville News,401,Greenville,SC,1997,D
The Item,403,Sumter,SC,1994,F
Rapid City Journal,404,Rapid City,SD,1998,E
Argus Leader,405,Sioux Falls,SD,1997,E
The Leaf-Chronicle,407,Clarksville,TN,1994,F
The Sun,408,Greeneville,TN,1996,F
The Jackson Sun,409,Jackson,TN,1998,E
Johnson City Press,410,Johnson City,TN,1997,E
The Times-News,411,Kingsport,TN,1996,E
Knoxville News-Sentinel,413,Knoxville,TN,2007,C
The Knoxville News Sentinel,413,Knoxville,TN,2007,C
The Commercial Appeal,415,Memphis,TN,1994,C
The Banner,416,Nashville,TN,1995,D
The Tennessean,417,Nashville,TN,1994,C
The Oak Ridger,418,Oak Ridge,TN,1994,F
Abilene Reporter-News,419,Abilene,TX,1998,E
Amarillo Daily News and Amarillo Globe-Times,420,Amarillo,TX,2002,D
Amarillo Globe-News,420,Amarillo,TX,2002,D
Austin American-Statesman,422,Austin,TX,2013,C
Austin-American Statesman,422,Austin,TX,2013,C
Beaumont Enterprise,424,Beaumont,TX,2006,D
The Beaumont Enterprise,424,Beaumont,TX,2006,D
Corpus Christi Caller-Times,425,Corpus Christi,TX,1998,D
The Dallas Morning News,427,Dallas,TX,1997,B
El Paso Herald-Post,429,El Paso,TX,1997,F
Fort Worth Star-Telegram,431,Fort Worth,TX,1997,C
Houston Chronicle,432,Houston,TX,1997,B
The Post,433,Houston,TX,1994,B
Kerrville Daily Times,434,Kerrville,TX,1998,G
Lubbock Avalanche-Journal,435,Lubbock,TX,1997,D
Palestine Herald-Press,436,Palestine,TX,1998,G
San Antonio Express-News,439,San Antonio,TX,1997,C
Temple Daily Telegram,441,Temple,TX,1997,F
The Tribune-Herald,442,Waco,TX,1997,E
Waco Tribune-Herald,442,Waco,TX,1997,E
The Times Record News,444,Wichita Falls,TX,1998,E
Times Record News,444,Wichita Falls,TX,1998,E
Deseret Morning News,446,Salt Lake City,UT,2004,D
Salt Lake Tribune,447,Salt Lake City,UT,1997,C
The Burlington Free Press,448,Burlington,VT,1998,D
The Free Lance-Star,451,Fredericksburg,VA,1994,E
Daily News-Record,452,Harrisonburg,VA,2000,E
The Virginian-Pilot,455,Norfolk,VA,1998,C
Richmond Times-Dispatch,456,Richmond,VA,1997,C
The Roanoke Times,457,Roanoke,VA,1997,C
The Bellingham Herald,458,Bellingham,WA,2000,E
Kitsap Sun,459,Bremerton,WA,2006,E
The Chronicle,460,Centralia,WA,2006,F
Herald,461,Everett,WA,2004,D
The Daily News,462,Longview,WA,1994,F
The Tri-City Herald,463,Tri-Cities,WA,2001,E
Tri-City Herald,463,Tri-Cities,WA,2001,E
Seattle Post-Intelligencer,464,Seattle,WA,2010,O
SeattlePI.com,464,Seattle,WA,2010,O
The Seattle Times,465,Seattle,WA,1997,C
The Spokesman-Review,466,Spokane,WA,1994,C
The News Tribune,467,Tacoma,WA,1994,C
The Columbian,468,Vancouver,WA,1994,D
The Wenatchee World,469,Wenatchee,WA,1997,E
The Herald-Republic,470,Yakima,WA,1998,E
Yakima Herald-Republic,470,Yakima,WA,1998,E
The Charleston Gazette,471,Charleston,WV,2006,E
The News-Register,472,Wheeling,WV,1999,F
Wheeling News-Register,472,Wheeling,WV,1999,F
The Post-Crescent,473,Appleton,WI,1994,D
The Chippewa Herald,474,Chippewa Falls,WI,1998,G
Green Bay Press Gazette,475,Green Bay,WI,2000,D
Green Bay Press-Gazette,475,Green Bay,WI,2000,D
Kenosha News,476,Kenosha,WI,1997,E
The Capital Times,477,Madison,WI,1994,F
The Wisconsin State Journal,478,Madison,WI,1997,D
Wisconsin State Journal,478,Madison,WI,1997,D
Milwaukee Journal Sentinel,479,Milwaukee,WI,1997,B
The Sentinel,480,Milwaukee,WI,1994,C
The Press,481,Sheboygan,WI,1999,E
The Sheboygan Press,481,Sheboygan,WI,1999,E
Daily Boomerang,483,Laramie,WY,1999,G
The Albuquerque Tribune,485,Albuquerque,NM,1998,E
The New Mexican,486,Santa Fe,NM,1998,F
The Santa Fe New Mexican,486,Santa Fe,NM,1998,F
The Times Union,487,Albany,NY,1997,C
Times Union,487,Albany,NY,1997,C
Press & Sun-Bulletin,489,Binghamton,NY,1998,D
The Buffalo News,491,Buffalo,NY,2001,C
Messenger Post Newspapers,492,Canandaigua,NY,2009,F
Star-Gazette,493,Elmira,NY,1998,E
Newsday,494,Melville,NY,1994,A
Daily News,495,New York,NY,2013,A
New York Daily News,495,New York,NY,2013,A
The News Courier,496,Athens,AL,1999,G
The News-Courier,496,Athens,AL,1999,G
The Cullman Times,497,Cullman,AL,2004,F
Dothan Eagle,498,Dothan,AL,2006,E
Enterprise Ledger,499,Enterprise,AL,1998,G
The Times Daily,500,Florence,AL,1995,E
The TimesDaily,500,Florence,AL,1997,E
TimesDaily,500,Florence,AL,1997,E
Gadsden Times,501,Gadsden,AL,1999,E
The Gadsden Times,501,Gadsden,AL,1999,E
The News,502,Huntsville,AL,1995,F
The Daily Mountain Eagle,503,Jasper,AL,1999,F
The Valley Times-News,504,Lanett,AL,1998,G
Valley Times-News,504,Lanett,AL,1998,G
Mobile Register,506,Mobile,AL,2007,D
Press-Register,506,Mobile,AL,2007,D
Opelika-Auburn News,507,Opelika,AL,1998,F
The Daily Sentinel,508,Scottsboro,AL,1997,G
The Selma Times-Journal,509,Selma,AL,1998,G
The Daily Home,510,Talladega,AL,1994,G
The Messenger,511,Troy,AL,1994,H
Fairbanks Daily News-Miner,512,Fairbanks,AK,1997,F
Juneau Empire,513,Juneau,AK,2000,G
The Daily Mirror,514,Kodiak,AK,1998,H
The Kodiak Daily Mirror,514,Kodiak,AK,1998,H
The Daily Sentinel,515,Sitka,AK,1998,H
The Daily Sitka Sentinel,515,Sitka,AK,1998,H
Casa Grande Dispatch,517,Casa Grande,AZ,1998,G
The Daily Dispatch,518,Douglas,AZ,1994,H
Arizona Daily Sun,519,Flagstaff,AZ,1997,F
The Daily Miner,520,Kingman,AZ,1998,G
The Kingman Daily Miner,520,Kingman,AZ,1998,G
Cox Arizona Publications,521,Mesa,AZ,1997,D
Cox Arizona Publications,521,Tempe,AZ,2014,D2
East Valley Tribune,521,Tempe,AZ,2014,D2
The Courier,523,Prescott,AZ,2001,F
The Daily Courier,523,Prescott,AZ,2001,F
Herald and Bisbee Daily Review,524,Sierra Vista,AZ,1998,F
Sierra Vista Herald and Bisbee Review,524,Sierra Vista,AZ,2005,F
Sierra Vista Herald/Bisbee Daily Review,524,Sierra Vista,AZ,2005,F
The Tempe Daily News-Tribune,525,Mesa,AZ,1994,F
Arkadelphia Daily Siftings Herald,526,Arkadelphia,AR,2008,H
Batesville Daily Guard,527,Batesville,AR,1998,G
The Benton Courier,528,Benton,AR,1998,G
Blytheville Courier News,529,Blytheville,AR,1999,H
Log Cabin Democrat,530,Conway,AR,1999,F
The Daily Citizen,531,De Queen,AR,1994,H
The News-Times,532,El Dorado,AR,1994,F
Northwest Arkansas Times,533,Fayetteville,AR,1998,F
Times-Herald,534,Forrest City,AR,2004,H
Harrison Daily Times,535,Harrison,AR,2004,G
The Daily World,536,Helena,AR,1994,G
Hope Star,537,Hope,AR,1998,H
